Date,TZERO
2024-02-19,17463931.550988736664
2024-02-20,8539119.919553272433
2024-02-21,171803354.866617041194
2024-02-22,13530124.362256451813
2024-02-23,12626325.383248855284
2024-02-24,9322530.544303618147
2024-02-25,9059177.049426938402
2024-02-26,40103473.644059573557
2024-02-27,14201028.861302444833
2024-02-28,8799871.937687485461
2024-02-29,47441447.09125330162
2024-03-01,91500635.847622815467
2024-03-02,32919355.236447397557
2024-03-03,19541349.265244731161
2024-03-04,23185270.87691254432
2024-03-05,124792495.998029702468
2024-03-06,6847190.862454388957
2024-03-07,34613733.944264729728
2024-03-08,10577620.081456414096
2024-03-09,20652548.154078220564
2024-03-10,8334952.24203806081
2024-03-11,13193500.314303150702
2024-03-12,9650817.29668958809
2024-03-13,9608759.466835704907
2024-03-14,6684902.296939228401
2024-03-15,4992378.7440470768
2024-03-16,3811116.002726151787
2024-03-17,8238950.266038095226
2024-03-18,16857399.967168963705
2024-03-19,11275815.23746662575
2024-03-20,21736291.034509916132
2024-03-21,54619933.333110376083
2024-03-22,5858163.373105354094
2024-03-23,3773500.400035904794
2024-03-24,6217090.744025351228
2024-03-25,8286808.129795585133
2024-03-26,7079561.313502722613
2024-03-27,4496324.519232776181
2024-03-28,7356245.430452737669
2024-03-29,5356930.347528992924
2024-03-30,7801616.368094708981
2024-03-31,4058144.339743536077
2024-04-01,4170943.774458189638
2024-04-02,8925731.196321115526
2024-04-03,103770935.896422735221
2024-04-04,33658257.957530932346
2024-04-05,59890156.697335986232
2024-04-06,47139366.394544396904
2024-04-07,45345559.72615348008
2024-04-08,13930116.12434843101
2024-04-09,6498293.595368224617
2024-04-10,8007966.372830256128
2024-04-11,7577860.076305101721
2024-04-12,4056193.434815983004
2024-04-13,9449200.324878458141
2024-04-14,4949354.274206184533
2024-04-15,28838030.622545024827
2024-04-16,27076024.65206227257
2024-04-17,62607945.782541204757
2024-04-18,157227683.906563219918
2024-04-19,48618438.247430830506
2024-04-20,24212867.098103818085
2024-04-21,33095082.1340402457
2024-04-22,24443074.939639547982
2024-04-23,59918674.606448552412
2024-04-24,16584392.531282826793
2024-04-25,71886864.685172487551
2024-04-26,205798759.102240718562
2024-04-27,93216596.894183936274
2024-04-28,35389831.698598539517
2024-04-29,71494895.232757922529
2024-04-30,29997965.034161993715
2024-05-01,25039319.020246561518
2024-05-02,62127812.815354432843
2024-05-03,25372472.363619206193
2024-05-04,11077031.663139232942
2024-05-05,46159542.234859236732
2024-05-06,25114166.337896570009
2024-05-07,26805057.284401133926
2024-05-08,33995358.389940793338
2024-05-09,15431729.409359044429
2024-05-10,12656622.1466436478
2024-05-11,15488222.34331542429
2024-05-12,12329857.659620812109
2024-05-13,16881629.710060895285
2024-05-14,13064118.911127029435
2024-05-15,32496073.89311595743
2024-05-16,16087380.317409554339
2024-05-17,19995936.527439173476
2024-05-18,10881443.443069229915
2024-05-19,14183566.021694856839
2024-05-20,57211231.508652739796
2024-05-21,11969631.662719046566
2024-05-22,4526086.805068999583
2024-05-23,17863959.487738299494
2024-05-24,4245929.305717768712
2024-05-25,12357842.314555924994
2024-05-26,3703311.789941446021
2024-05-27,12535016.859562524884
2024-05-28,13138699.091308057087
2024-05-29,13617919.482393641468
2024-05-30,46752684.46487726084
2024-05-31,93927804.606230409675
2024-06-01,54742897.260088927149
2024-06-02,29713919.517848430405
2024-06-03,45413067.308605602378
2024-06-04,27789218.553879676033
2024-06-05,28756106.843984753277
2024-06-06,18600273.787499385522
2024-06-07,15594543.11610396976
2024-06-08,15112523.615881609812
2024-06-09,18646048.466646617993
2024-06-10,12551803.12744676772
2024-06-11,12886048.438649840822
2024-06-12,15952055.714282073604
2024-06-13,11680099.081867852613
2024-06-14,8171576.819037693442
2024-06-15,7261216.899972557295
2024-06-16,21128999.58127256239
2024-06-17,13005563.625776509182
2024-06-18,8839871.271505870368
2024-06-19,28567969.056324014116
2024-06-20,16759938.692783340838
2024-06-21,7393677.178421142964
2024-06-22,8713118.241417801209
2024-06-23,9003484.785816772222
2024-06-24,9412173.21816701719
2024-06-25,8006953.249789625643
2024-06-26,7268468.158866034871
2024-06-27,14169821.847112468984
2024-06-28,5251398.437846206299
2024-06-29,4513102.835873490286
2024-06-30,6517832.859750262059
2024-07-01,8932384.453755122543
2024-07-02,9726026.484252912685
2024-07-03,10356551.651375440612
2024-07-04,7735214.158898632163
2024-07-05,7711153.717635007519
2024-07-06,8146362.305349266486
2024-07-07,7489278.031807652498
2024-07-08,11653395.417378447194
2024-07-09,9347479.066418650673
2024-07-10,7297680.418396519764
2024-07-11,7619437.307665306559
2024-07-12,7770565.171237248468
2024-07-13,5633273.976298265332
2024-07-14,5886802.631038199377
2024-07-15,8283457.570689698313
2024-07-16,11718912.333162078367
2024-07-17,6774824.925043544604
2024-07-18,5943516.740085230007
2024-07-19,7566263.20687934608
2024-07-20,9036677.424528473597
2024-07-21,7051755.459656900251
2024-07-22,9174754.445516478641
2024-07-23,13570997.2239037151
2024-07-24,7007848.429494790847
2024-07-25,9057313.45039022079
2024-07-26,13667817.434168687778
2024-07-27,14301954.240296166171
2024-07-28,17620815.882815450038
2024-07-29,17833234.597768041507
2024-07-30,27942992.330087751228
2024-07-31,85038502.414871275381
2024-08-01,31403776.963055584945
2024-08-02,43281224.845442740284
2024-08-03,103932651.695826026877
2024-08-04,155338754.908102778732
2024-08-05,93939245.4096605011
2024-08-06,100545244.684808472276
2024-08-07,109827474.424624301087
2024-08-08,47862364.662786022778
2024-08-09,112751598.218316405144
2024-08-10,110571262.817458919282
2024-08-11,106533098.555971929369
2024-08-12,166128990.844604213536
2024-08-13,132740838.850099158118
2024-08-14,143552661.691059757844
2024-08-15,89978403.705855314943
2024-08-16,88776186.602472651389
2024-08-17,94394055.488275770208
